"GEOID","NAME","total_popE","whiteE","blackE","asianE","hispanicE","year"
"1761821","Prestbury CDP, Illinois",1580,1442,0,19,119,2015
"1763355","Rentchler CDP, Illinois",0,0,0,0,0,2015
"1768809","Seymour CDP, Illinois",373,303,40,6,0,2015
"1774970","The Galena Territory CDP, Illinois",996,961,0,0,35,2015
"1702342","Arrowsmith village, Illinois",316,285,1,5,5,2015
"1766638","St. Anne village, Illinois",1422,1028,9,2,371,2015
"1711215","Carlock village, Illinois",613,561,50,0,2,2015
"1718537","Danvers village, Illinois",1204,1130,6,3,29,2015
"1775159","Thompsonville village, Illinois",735,685,0,0,22,2015
"1747553","Mattoon city, Illinois",17646,16673,314,22,248,2015
"1709330","Buckner village, Illinois",428,423,0,0,5,2015
"1724673","Ewing village, Illinois",265,257,0,0,0,2015
"1777148","Valier village, Illinois",599,581,0,0,6,2015
"1730588","Gorham village, Illinois",173,169,0,0,4,2015
"1742756","Leland village, Illinois",978,925,1,0,47,2015
"1754222","North Utica village, Illinois",1401,1345,0,26,30,2015
"1755353","Oglesby city, Illinois",3880,3563,14,14,220,2015
"1759234","Peru city, Illinois",10019,9048,103,26,813,2015
"1708225","Bridgeview village, Illinois",16359,12204,323,739,2737,2015
"1729938","Glenview village, Illinois",45969,35177,591,6105,3355,2015
"1712710","Chatsworth town, Illinois",1012,926,0,27,52,2015
"1700815","Allendale village, Illinois",717,681,0,0,34,2015
"1731524","Greenup village, Illinois",1769,1748,5,12,0,2015
"1761366","Potomac village, Illinois",700,655,2,0,21,2015
"1767769","Sauk Village village, Illinois",10540,2624,6495,30,1078,2015
"1728326","Galesburg city, Illinois",31696,24106,4183,388,2463,2015
"1708264","Brighton village, Illinois",2109,2069,2,0,25,2015
"1739129","Kaskaskia village, Illinois",20,20,0,0,0,2015
"1762757","Ransom village, Illinois",354,347,0,0,7,2015
"1775757","Topeka village, Illinois",82,62,0,0,0,2015
"1706899","Bluffs village, Illinois",795,787,0,0,8,2015
"1700113","Abingdon city, Illinois",3105,2889,65,0,41,2015
"1711774","Catlin village, Illinois",1981,1915,4,0,52,2015
"1774301","Table Grove village, Illinois",365,363,0,0,0,2015
"1782491","Winnebago village, Illinois",3027,2744,139,0,91,2015
"1717471","Creston village, Illinois",740,603,3,0,130,2015
"1764174","Ripley village, Illinois",94,94,0,0,0,2015
"1700230","Addieville village, Illinois",311,311,0,0,0,2015
"1720149","Dixmoor village, Illinois",3626,339,1446,0,1708,2015
"1755002","Oakwood village, Illinois",1650,1513,0,7,100,2015
"1770161","Sleepy Hollow village, Illinois",3337,2875,23,103,258,2015
"1768120","Schram City village, Illinois",473,454,10,0,9,2015
"1775848","Tower Hill village, Illinois",508,495,0,4,7,2015
"1782686","Winthrop Harbor village, Illinois",6849,6166,53,144,367,2015
"1777941","Villa Grove city, Illinois",2166,2020,0,10,66,2015
"1765156","Rockton village, Illinois",7567,7115,63,115,180,2015
"1722073","East Moline city, Illinois",21422,12978,2837,1010,4057,2015
"1775263","Tilden village, Illinois",687,680,2,0,0,2015
"1764278","Riverdale village, Illinois",13106,430,12065,20,257,2015
"1771370","South Wilmington village, Illinois",770,694,0,0,74,2015
"1721267","Du Quoin city, Illinois",6002,5126,499,21,103,2015
"1733877","Hecker village, Illinois",467,422,0,0,0,2015
"1701946","Arenzville village, Illinois",364,319,0,0,21,2015
"1704975","Bellwood village, Illinois",19190,1019,14086,115,3611,2015
"1711163","Carbondale city, Illinois",26192,15287,6122,1561,1826,2015
"1778604","Walnut Hill village, Illinois",91,91,0,0,0,2015
"1755249","O'Fallon city, Illinois",29144,22117,4354,756,981,2015
"1728170","Fults village, Illinois",18,18,0,0,0,2015
"1718628","Darien city, Illinois",22263,16992,940,2550,1099,2015
"1741742","Lake Zurich village, Illinois",19923,16004,167,1855,1567,2015
"1744381","Lomax village, Illinois",358,336,0,0,16,2015
"1759104","Percy village, Illinois",854,668,0,11,170,2015
"1756601","Orion village, Illinois",2011,1916,10,9,24,2015
"1773261","Stronghurst village, Illinois",811,793,0,0,18,2015
"1739077","Karnak village, Illinois",605,587,18,0,0,2015
"1766703","St. Charles city, Illinois",33685,28471,484,1121,3182,2015
"1741326","Lakemoor village, Illinois",6535,5097,109,49,1194,2015
"1755041","Oakwood Hills village, Illinois",2152,1982,0,16,103,2015
"1782855","Wonder Lake village, Illinois",3966,3470,0,0,496,2015
"1715209","Coalton village, Illinois",283,281,0,0,0,2015
"1725440","Farmersville village, Illinois",569,558,0,3,5,2015
"1737738","Irving village, Illinois",445,443,1,0,1,2015
"1778383","Waggoner village, Illinois",166,151,15,0,0,2015
"1755899","Olmsted village, Illinois",422,335,73,0,12,2015
"1729093","German Valley village, Illinois",440,429,0,5,6,2015
"1742834","Lena village, Illinois",2935,2864,0,14,20,2015
"1704273","Bay View Gardens village, Illinois",336,325,0,0,3,2015
"1739753","Keyesport village, Illinois",542,524,3,2,9,2015
"1782270","Winchester city, Illinois",1569,1546,0,0,0,2015
"1774847","Thawville village, Illinois",192,169,0,0,21,2015
"1731368","Greenfield city, Illinois",1412,1407,0,0,0,2015
"1735203","Hillview village, Illinois",182,182,0,0,0,2015
"1730653","Grafton city, Illinois",616,573,15,3,14,2015
"1726311","Flanagan village, Illinois",1138,1084,0,1,50,2015
"1773131","Strawn village, Illinois",109,106,0,0,0,2015
"1739857","Kilbourne village, Illinois",284,284,0,0,0,2015
"1708303","Brimfield village, Illinois",901,853,0,0,15,2015
"1721176","Dunlap village, Illinois",1478,1403,22,32,12,2015
"1765403","Rome CDP, Illinois",1831,1791,2,0,17,2015
"1754625","Oakford village, Illinois",335,320,0,0,9,2015
"1760872","Pocahontas village, Illinois",631,609,0,0,6,2015
"1770525","Sorento village, Illinois",527,464,0,6,40,2015
"1758239","Paxton city, Illinois",4252,3988,49,34,162,2015
"1760079","Piper City village, Illinois",825,766,0,1,58,2015
"1714936","Clifton village, Illinois",1581,1521,0,8,29,2015
"1741214","Lake Ka-Ho village, Illinois",232,218,0,0,12,2015
"1704845","Belleville city, Illinois",42898,29263,10510,550,963,2015
"1767821","Savanna city, Illinois",2980,2526,129,8,271,2015
"1707640","Braceville village, Illinois",757,691,0,0,49,2015
"1706756","Blue Mound village, Illinois",1055,1043,0,0,8,2015
"1760352","Plano city, Illinois",11920,7139,706,21,3858,2015
"1784038","Yorkville city, Illinois",18222,14751,1196,377,1841,2015
"1733227","Harristown village, Illinois",1330,1280,4,33,2,2015
"1745941","Macon city, Illinois",1229,1138,0,0,7,2015
"1778916","Warrensburg village, Illinois",1217,1039,33,0,75,2015
"1701205","Alto Pass village, Illinois",402,319,4,1,76,2015
"1726454","Flora city, Illinois",5027,4816,39,3,0,2015
"1701491","Andover village, Illinois",554,544,0,0,10,2015
"1701569","Annawan town, Illinois",900,827,15,2,34,2015
"1718992","Deerfield village, Illinois",18588,17211,140,677,421,2015
"1705599","Bethalto village, Illinois",9406,9045,136,11,94,2015
"1721553","East Alton village, Illinois",6215,5985,14,69,0,2015
"1740910","Lake Bluff village, Illinois",5813,5163,41,381,85,2015
"1741586","Lake Villa village, Illinois",8878,6857,439,337,1013,2015
"1743666","Lincolnshire village, Illinois",7271,6359,60,551,179,2015
"1743770","Lindenhurst village, Illinois",14414,11864,202,835,1148,2015
"1754781","Oakland city, Illinois",910,878,0,0,32,2015
"1756536","Orient city, Illinois",358,345,0,0,2,2015
"1766209","Royalton village, Illinois",1177,1144,12,3,10,2015
"1703103","Ava city, Illinois",661,644,0,0,17,2015
"1723373","Elkville village, Illinois",1047,915,44,5,67,2015
"1718485","Dana village, Illinois",126,102,0,0,9,2015
"1738921","Kangley village, Illinois",337,234,2,0,98,2015
"1700919","Alma village, Illinois",371,362,0,1,0,2015
"1773495","Sullivan city, Illinois",4600,4453,24,12,100,2015
"1708667","Brooklyn village, Illinois",836,5,820,0,0,2015
"1715235","Coal Valley village, Illinois",3784,3597,62,19,62,2015
"1781087","Wheeling village, Illinois",37982,18116,752,5772,12945,2015
"1730094","Godfrey village, Illinois",17868,16190,985,62,315,2015
"1732564","Hampton village, Illinois",1942,1732,8,17,127,2015
"1749009","Milan village, Illinois",5137,4651,171,15,113,2015
"1742971","Le Roy city, Illinois",3584,3522,6,4,36,2015
"1714572","Clarendon Hills village, Illinois",8609,7264,180,542,534,2015
"1729756","Glen Ellyn village, Illinois",27890,22583,1066,1996,1740,2015
"1737907","Itasca village, Illinois",8574,6677,96,542,1078,2015
"1753234","Normal town, Illinois",54488,43718,4469,2047,2864,2015
"1727663","Franklin village, Illinois",505,494,0,0,2,2015
"1709356","Buda village, Illinois",644,609,0,17,9,2015
"1740598","Ladd village, Illinois",1212,1152,4,6,46,2015
"1768471","Seatonville village, Illinois",311,281,0,2,28,2015
"1769147","Sheffield village, Illinois",760,729,0,0,19,2015
"1744719","Loraine village, Illinois",301,281,0,0,16,2015
"1719161","DeKalb city, Illinois",43483,28900,5971,1958,5572,2015
"1740156","Kirkland village, Illinois",1655,1500,0,6,104,2015
"1716405","Cornell village, Illinois",353,349,0,1,2,2015
"1765481","Roodhouse city, Illinois",1788,1720,0,0,45,2015
"1755171","Odell village, Illinois",1000,974,0,0,26,2015
"1711293","Carmi city, Illinois",5107,4934,33,18,65,2015
"1717783","Crossville village, Illinois",691,642,1,9,22,2015
"1731165","Grayville city, Illinois",1630,1584,11,0,9,2015
"1759520","Phillipstown village, Illinois",30,30,0,0,0,2015
"1728144","Fulton city, Illinois",3467,3316,25,41,37,2015
"1766131","Roxana village, Illinois",1653,1536,0,0,105,2015
"1777473","Venice city, Illinois",1963,30,1853,16,8,2015
"1783271","Wood River city, Illinois",10417,9920,78,90,258,2015
