"GEOID","NAME","median_incomeE","year"
"1760144","Pistakee Highlands CDP, Illinois",61210,2015
"1763641","Richmond village, Illinois",47250,2015
"1748359","Menominee village, Illinois",66750,2015
"1752545","New Holland village, Illinois",52000,2015
"1739298","Keithsburg city, Illinois",35417,2015
"1775419","Time village, Illinois",35938,2015
"1777187","Valley City village, Illinois",NA,2015
"1771643","Springerton village, Illinois",46125,2015
"1770005","Simpson village, Illinois",31875,2015
"1703571","Banner village, Illinois",50938,2015
"1709161","Bryant village, Illinois",51429,2015
"1743055","Lewistown city, Illinois",42167,2015
"1744121","Liverpool village, Illinois",32188,2015
"1742405","Lawrenceville city, Illinois",32488,2015
"1736150","Hopewell village, Illinois",76094,2015
"1775653","Toluca city, Illinois",46250,2015
"1779813","Wenona city, Illinois",50972,2015
"1756484","Oregon city, Illinois",42120,2015
"1764746","Rochelle city, Illinois",42819,2015
"1723009","Eldorado city, Illinois",26344,2015
"1720890","Du Bois village, Illinois",45417,2015
"1709798","Burnham village, Illinois",45638,2015
"1717497","Crestwood village, Illinois",53081,2015
"1730328","Golf village, Illinois",161563,2015
"1735866","Hometown city, Illinois",45426,2015
"1757407","Palos Park village, Illinois",77546,2015
"1700672","Alexis village, Illinois",55250,2015
"1778201","Virginia city, Illinois",46375,2015
"1745434","Lyons village, Illinois",44534,2015
"1737257","Indian Head Park village, Illinois",81013,2015
"1740767","La Grange village, Illinois",102500,2015
"1745421","Lynwood village, Illinois",49410,2015
"1748892","Midlothian village, Illinois",62351,2015
"1750647","Morton Grove village, Illinois",75166,2015
"1749347","Mill Shoals village, Illinois",38750,2015
"1707510","Bowen village, Illinois",43750,2015
"1723841","Elvaston village, Illinois",40625,2015
"1732434","Hamilton city, Illinois",47165,2015
"1720565","Dowell village, Illinois",22500,2015
"1779397","Wayne village, Illinois",145074,2015
"1727442","Fox Lake village, Illinois",56208,2015
"1761678","Prairie Grove village, Illinois",109875,2015
"1710149","Butler village, Illinois",33750,2015
"1743965","Litchfield city, Illinois",44547,2015
"1723698","Elmwood city, Illinois",56319,2015
"1731576","Greenview village, Illinois",50833,2015
"1755717","Old Ripley village, Illinois",34375,2015
"1724699","Exeter village, Illinois",52917,2015
